"","Phase","adj_loc","sample_date","influent_composition","broad_location","location_code_orig","batch_end_or_start","batch_sample_date","temp_C","total_Cl2_mg.L","free_Cl2_mg.L"
"1568","Phase 1","transition loops (Phase 1)",2017-10-31,"100% conventional","Pipe_Loop","Loop_1","Between_Batch",2017-11-02,18.3,0.78,NA
"1569","Phase 1","transition loops (Phase 1)",2017-11-21,"100% conventional","Pipe_Loop","Loop_1","Between_Batch",2017-11-27,21.7,0.78,NA
"1570","Phase 1","transition loops (Phase 1)",2018-01-02,"100% conventional","Pipe_Loop","Loop_1","Between_Batch",2018-01-05,15.3,0.78,NA
"1571","Phase 1","conventional control loop",2018-01-03,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2018-01-05,20.1,0.78,NA
"1572","Phase 2","conventional control loop",2018-02-04,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2018-02-05,17.5,0.78,NA
"1573","Phase 2","transition loops (Phase 2)",2018-02-16,"90% advanced
10% conventional","Pipe_Loop","Loop_2","Between_Batch",2018-02-19,14.5,0.78,NA
"1574","Phase 2","conventional control loop",2018-02-26,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2018-02-27,14.1,0.78,NA
"1576","Phase 1","conventional control loop",2017-11-08,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2017-11-13,21,0.79,NA
"1577","Phase 1","advanced blend loops",2017-11-15,"90% advanced
10% conventional","Pipe_Loop","Loop_4","Between_Batch",2017-11-20,17.7,0.8,NA
"1578","Phase 2","conventional control loop",2018-01-14,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2018-01-15,21.1,0.8,NA
"1583","Phase 1","transition loops (Phase 1)",2017-10-24,"100% conventional","Pipe_Loop","Loop_2","Between_Batch",2017-10-26,26.4,0.82,NA
"1584","Phase 1","advanced blend loops",2017-11-17,"90% advanced
10% conventional","Pipe_Loop","Loop_3","Between_Batch",2017-11-20,19.4,0.82,NA
