,Phase,adj_loc,sample_date,influent_composition,sample_type,location_code_orig,broad_location,batch_end_or_start,ICC_to_TCC,avg_cells_per_mL_gmean,avg_cells_per_mL_gstd,assay
679,Phase 1,transition loops (Phase 1),11/2/17,100% conventional,bulkwater_grab,Loop_2,Pipe_Loop,Batch_End,0.293882404,4088.69131,1.05635146,ICC
75,NA,"full-scale
distribution system
",8/23/17,not applicable,bulkwater_grab,site_18,DWDS_F,NA,0.610818395,5406.21135,1.03999878,TCC
739,Phase 1,conventional feedwater,11/2/17,100% conventional,bulkwater_grab,conventional_feed,DWDS_F,Batch_Start,0.323325233,8113.36208,1.04444987,ICC
78,NA,"full-scale
distribution system
",3/22/18,not applicable,bulkwater_grab,site_24,DWDS_F,NA,0.71411454,5737.44555,1.12411456,TCC
864,Phase 1,advanced feedwater,11/2/17,100% advanced,bulkwater_grab,advanced_feed,Pipe_Loop,Batch_Start,0.394252095,111773.846,1.1168867,ICC
80,Phase 1,transition loops (Phase 1),11/6/17,100% conventional,bulkwater_grab,Loop_1,Pipe_Loop,Batch_End,0.250164712,5892.48087,1.50492145,TCC
81,Phase 1,conventional control loop,11/6/17,100% conventional,bulkwater_grab,Loop_5,Pipe_Loop,Batch_End,0.42993069,5947.65337,1.13409192,TCC
83,NA,"full-scale
distribution system
",2/7/18,not applicable,bulkwater_grab,site_24,DWDS_F,NA,0.177776458,6002.68732,1.06923922,TCC
85,NA,"full-scale
distribution system
",2/7/18,not applicable,bulkwater_grab,site_23,DWDS_F,NA,0.142866241,6332.12749,1.02396414,TCC
89,NA,"full-scale
distribution system
",8/23/17,not applicable,bulkwater_grab,site_2,DWDS_F,NA,0.196184096,6490.15669,1.01905098,TCC
97,Phase 1,transition loops (Phase 1),11/6/17,100% conventional,bulkwater_grab,Loop_2,Pipe_Loop,Batch_End,0.342920525,8424.24924,1.049136,TCC
91,NA,"full-scale
distribution system
",8/22/17,not applicable,bulkwater_grab,site_12,DWDS_F,NA,0.22390964,6792.02022,1.08889387,TCC
153,Phase 1,conventional feedwater,11/6/17,100% conventional,bulkwater_grab,conventional_feed,DWDS_F,Batch_Start,0.289936638,21729.7093,1.04686683,TCC
228,Phase 1,advanced blend loops,11/6/17,"90% advanced
10% conventional",bulkwater_grab,Loop_3,Pipe_Loop,Batch_End,0.048255673,52214.7567,1.01758268,TCC
